,average,average,average,average,average,average,average,average,average,average,average,average,max,max,max,max,max,max,max,max,max,max,max,max,min,min,min,min,min,min,min,min,min,min,min,min
node_id,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0
measurement_bucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28 13:30:00+00:00,3044.78164556962,2573.084656084656,4208.2704081632655,4688.524752475248,40.685344827586206,64.82608695652173,0.1501416430594901,0.7156398104265402,9.089927710843368,7.093172932330829,40.6,37.0,5001.0,5009.0,162000.0,196426.0,164.0,176.0,41.0,47.0,39.056,30.032,41.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,-44.0,0.0,0.0,40.0,37.0
2023-03-28 13:45:00+00:00,3102.8656126482215,2811.3506493506493,5149.536312849162,5038.213768115942,45.66197183098591,66.3125,-0.928082191780822,0.8315412186379928,9.027506172839512,9.45333333333334,42.333333333333336,37.0,5001.0,5013.0,320241.0,269294.0,164.0,176.0,40.0,42.0,39.056,30.032,43.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,-42.0,0.0,0.0,42.0,37.0
2023-03-28 14:00:00+00:00,3204.6006711409395,2764.4262295081967,4552.511904761905,4622.5,36.22274881516588,63.433526011560694,-0.27575757575757576,1.5284090909090908,9.40236228287841,7.696650406504062,42.5,38.4,5002.0,5013.0,192857.0,40000.0,164.0,176.0,41.0,46.0,39.056,30.016,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,-11.0,0.0,0.0,42.0,38.0
2023-03-28 14:15:00+00:00,2958.882575757576,2908.7770897832816,3060.4010695187167,3694.8451612903227,46.08163265306123,68.06148867313915,-0.5641025641025641,-0.3003533568904594,8.610876404494377,8.963353535353532,42.57142857142857,38.5,5001.0,5007.0,100286.0,169714.0,164.0,176.0,26.0,48.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,-45.0,0.0,0.0,42.0,38.0
2023-03-28 14:30:00+00:00,3025.5723905723908,2918.6652173913044,6312.00518134715,5440.171673819743,36.357142857142854,69.31862745098039,-0.16101694915254236,0.5486381322957199,9.381170483460563,7.914847457627116,42.0,38.5,5002.0,5007.0,169714.0,185143.0,164.0,176.0,39.0,47.0,39.056,30.0,42.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.0,-42.0,0.0,0.0,42.0,38.0
2023-03-28 14:45:00+00:00,3107.837748344371,2956.928838951311,4193.651515151515,3894.1609195402298,41.88065843621399,66.24902723735408,-0.3708609271523179,0.484375,8.800283544303799,8.897782991202352,42.5,38.5,5001.0,5009.0,192857.0,83232.0,164.0,176.0,49.0,48.0,39.072,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-48.0,0.0,0.0,42.0,38.0
2023-03-28 15:00:00+00:00,3062.7846153846153,2866.0851851851853,3868.5481927710844,4375.387096774193,40.935960591133004,71.12669683257919,-0.2467948717948718,0.5774647887323944,9.712431137724565,8.593793939393938,42.5,38.5,5001.0,5004.0,119571.0,40000.0,164.0,176.0,46.0,43.0,39.056,30.0,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,-42.0,0.0,0.0,42.0,38.0
2023-03-28 15:15:00+00:00,3113.3035143769966,2853.266666666667,4734.633333333333,4893.557251908397,39.99242424242424,63.64049586776859,-0.97953216374269,0.15163934426229508,9.11401496259352,8.335846645367408,42.5,38.5,5001.0,5007.0,216000.0,185143.0,164.0,176.0,32.0,47.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,-43.0,0.0,0.0,42.0,38.0
2023-03-28 15:30:00+00:00,3033.2490566037736,2879.0397111913358,5340.988888888889,3879.698113207547,46.60621761658031,69.308,-1.021505376344086,0.26200873362445415,9.215471471471476,9.14674220963173,42.57142857142857,38.5,5001.0,5005.0,192857.0,41250.0,164.0,176.0,34.0,43.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0,-46.0,0.0,0.0,42.0,38.0
2023-03-28 15:45:00+00:00,3214.2727272727275,2768.251101321586,3435.488584474886,4848.739726027397,39.59919028340081,61.8235294117647,-0.11666666666666667,0.2931726907630522,9.599122807017544,7.585158620689653,42.5,38.5,5002.0,5005.0,181286.0,282549.0,164.0,176.0,47.0,49.0,39.056,30.016,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0,-46.0,0.0,0.0,42.0,38.0
2023-03-28 16:00:00+00:00,2801.661224489796,2805.8006230529595,3069.0545454545454,4128.317507418397,44.61658031088083,66.91530944625407,-0.8736462093862816,0.8035714285714286,8.161095890410966,8.322712530712534,42.5,38.5,5001.0,5006.0,40000.0,40000.0,164.0,176.0,37.0,47.0,39.024,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-39.0,0.0,0.0,42.0,38.0
2023-03-28 16:15:00+00:00,3178.711764705882,2813.469945355191,3894.20704845815,4416.1270718232045,37.82392026578073,66.14880952380952,-0.10465116279069768,1.2620320855614973,9.575122807017555,7.812351464435148,42.5,38.5,5002.0,5004.0,138857.0,169714.0,164.0,176.0,41.0,45.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,-18.0,0.0,0.0,42.0,38.0
2023-03-28 16:30:00+00:00,2953.887804878049,2867.378048780488,3035.855072463768,3631.980582524272,41.06043956043956,67.24271844660194,-0.13574660633484162,-0.045454545454545456,8.648150943396223,8.954936708860762,42.5,38.5,5001.0,5005.0,40000.0,40000.0,164.0,176.0,45.0,49.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.0,-39.0,0.0,0.0,42.0,38.0
2023-03-28 16:45:00+00:00,3147.520325203252,2803.728723404255,3115.8348623853212,3811.2303664921465,40.15438596491228,63.66081871345029,0.45588235294117646,0.9333333333333333,9.338084033613434,7.801510040160634,42.5,38.5,5002.0,5003.0,96429.0,40000.0,164.0,176.0,47.0,44.0,39.056,30.048,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-42.0,0.0,0.0,42.0,38.0
